월,구분,담당부서,광고주명,코드,총매출,영업수익,영업비용,영업실적,인건비,관리손익
2월,광고주,SAE팀,구플러스,58525,"601,680","90,253",0,"90,253","41,631","48,622"
2월,광고주,CS파트,을지인쇄,22414,"444,300","66,646",0,"66,646","40,549","26,097"
2월,광고주,SAE팀,한국교원연수원,36446,"582,890","87,435",0,"87,435","40,331","47,104"
2월,광고주,SAE팀,디자인치과의원,54569,"575,890","86,384",0,"86,384","39,846","46,538"
2월,광고주,SAE팀,(주)엘넷,61277,"575,060","86,259",0,"86,259","39,789","46,470"
2월,광고주,CS파트,원시스,61557,"425,990","63,900",0,"63,900","38,878","25,022"
2월,광고주,SAE팀,주식회사 엠지아이티,61519,"560,000","84,000",0,"84,000","38,747","45,253"
2월,광고주,SAE팀,(주)에이블클라우드,61412,"560,000","84,000",0,"84,000","38,747","45,253"
2월,광고주,CS파트,나비에스 (NABY-S) 의원,51066,"421,600","63,241",0,"63,241","38,477","24,764"
2월,광고주,CS파트,위대한탄생여성병원,60129,"421,530","63,230",0,"63,230","38,470","24,760"
2월,광고주,CS파트,태동관광개발(주),40687,"421,490","63,224",0,"63,224","38,466","24,758"
2월,광고주,광고사업3본부1실1팀 (강기민),어음톡,59295,"1,078,380","161,757",0,"161,757","36,898","124,859"
2월,광고주,SAE팀,한울프랜차이즈,34384,"532,415","79,863","15,347","64,516","36,838","27,678"
2월,광고주,SAE팀,서울플란트원치과의원,56408,"616,042","78,687",0,"78,687","36,296","42,391"
2월,광고주,SAE팀,(주)에스다드,61590,"520,750","78,113",0,"78,113","36,031","42,082"
2월,광고주,SAE팀,와이비엠비즈강남교육연수센터,52311,"518,390","77,759",0,"77,759","35,868","41,891"
2월,광고주,SAE팀,수유상사 주식회사,59489,"505,905","75,886",0,"75,886","35,004","40,882"
2월,광고주,SAE팀,서울스마트치과,54843,"845,046","74,385",0,"74,385","34,311","40,074"
